participant_id,video_id,split
P26,P26_05,train
P26,P26_06,train
P26,P26_07,train
P26,P26_08,train
P26,P26_09,train
P26,P26_10,train
P26,P26_11,train
P26,P26_12,train
P26,P26_13,train
P26,P26_14,train
P26,P26_15,train
P26,P26_16,train
P26,P26_17,train
P26,P26_18,train
P26,P26_19,train
P26,P26_20,train
P26,P26_21,train
P26,P26_22,train
P26,P26_23,train
P26,P26_24,train
P26,P26_25,train
P26,P26_26,train
P26,P26_27,train
P26,P26_28,train
P26,P26_29,train
P27,P27_01,train
P27,P27_02,train
P27,P27_03,train
P27,P27_04,train
P27,P27_06,train
P27,P27_07,train
P28,P28_01,train
P28,P28_02,train
P28,P28_03,train
P28,P28_04,train
P28,P28_05,train
P28,P28_06,train
P28,P28_07,train
P28,P28_08,train
P28,P28_09,train
P28,P28_10,train
P28,P28_11,train
P28,P28_12,train
P28,P28_13,train
P28,P28_14,train
P29,P29_01,train
P29,P29_02,train
P29,P29_03,train
P29,P29_04,train
P30,P30_01,train
P30,P30_02,train
P30,P30_03,train
P30,P30_04,train
P30,P30_05,train
P30,P30_06,train
P30,P30_10,train
P30,P30_11,train
P31,P31_01,train
P31,P31_02,train
P31,P31_03,train
P31,P31_04,train
P31,P31_05,train
P31,P31_06,train
P31,P31_07,train
P31,P31_08,train
P31,P31_09,train
P31,P31_13,train
P31,P31_14,train
P01,P01_11,test
P01,P01_12,test
P01,P01_13,test
P01,P01_14,test
P01,P01_15,test
P02,P02_12,test
P02,P02_13,test
P02,P02_14,test
P02,P02_15,test
P03,P03_21,test
P03,P03_22,test
P03,P03_23,test
P03,P03_24,test
P03,P03_25,test
P03,P03_26,test
P04,P04_24,test
P04,P04_25,test
P04,P04_26,test
P04,P04_27,test
P04,P04_28,test
P04,P04_29,test
P04,P04_30,test
P04,P04_31,test
P04,P04_32,test
P04,P04_33,test
P05,P05_07,test
P05,P05_09,test
P06,P06_10,test
P06,P06_11,test
P06,P06_12,test
P06,P06_13,test
P06,P06_14,test
P07,P07_12,test
P07,P07_13,test
P07,P07_14,test
P07,P07_15,test
P07,P07_16,test
P07,P07_17,test
P07,P07_18,test
P08,P08_09,test
P08,P08_10,test
P08,P08_14,test
P08,P08_15,test
P08,P08_16,test
P08,P08_17,test
P10,P10_03,test
P12,P12_03,test
P12,P12_08,test
P13,P13_01,test
P13,P13_02,test
P13,P13_03,test
P14,P14_06,test
P14,P14_08,test
P15,P15_04,test
P15,P15_05,test
P15,P15_06,test
P16,P16_04,test
P17,P17_02,test
P19,P19_05,test
P19,P19_06,test
P20,P20_05,test
P20,P20_06,test
P20,P20_07,test
P21,P21_02,test
P22,P22_01,test
P22,P22_02,test
P22,P22_03,test
P22,P22_04,test
P23,P23_05,test
P24,P24_09,test
P25,P25_06,test
P25,P25_07,test
P25,P25_08,test
P26,P26_30,test
P26,P26_31,test
P26,P26_32,test
P26,P26_33,test
P26,P26_34,test
P26,P26_35,test
P26,P26_36,test
P26,P26_37,test
P26,P26_38,test
P26,P26_39,test
P26,P26_40,test
P26,P26_41,test
P27,P27_05,test
P28,P28_15,test
P28,P28_16,test
P28,P28_17,test
P28,P28_18,test
P28,P28_19,test
P28,P28_20,test
P28,P28_21,test
P28,P28_22,test
P28,P28_23,test
P28,P28_24,test
P28,P28_25,test
P28,P28_26,test
P29,P29_05,test
P29,P29_06,test
P30,P30_07,test
P30,P30_08,test
P30,P30_09,test
P31,P31_10,test
P31,P31_11,test
P31,P31_12,test
P09,P09_01,test
P09,P09_02,test
P09,P09_03,test
P09,P09_04,test
P09,P09_05,test
P09,P09_06,test
P09,P09_07,test
P09,P09_08,test
P11,P11_01,test
P11,P11_02,test
P11,P11_03,test
P11,P11_04,test
P11,P11_05,test
P11,P11_06,test
P11,P11_07,test
P11,P11_08,test
P11,P11_09,test
P11,P11_10,test
P11,P11_11,test
P11,P11_12,test
P11,P11_13,test
P11,P11_14,test
P11,P11_15,test
P11,P11_16,test
P11,P11_17,test
P11,P11_18,test
P11,P11_19,test
P11,P11_20,test
P11,P11_21,test
P11,P11_22,test
P11,P11_23,test
P11,P11_24,test
P18,P18_01,test
P18,P18_02,test
P18,P18_03,test
P18,P18_04,test
P18,P18_05,test
P18,P18_06,test
P18,P18_07,test
P18,P18_08,test
P18,P18_09,test
P18,P18_10,test
P18,P18_11,test
P18,P18_12,test
P32,P32_01,test
P32,P32_02,test
P32,P32_03,test
P32,P32_04,test
P32,P32_05,test
P32,P32_06,test
P32,P32_07,test
P32,P32_08,test
P32,P32_09,test
P32,P32_10,test
